path,query_number,time(s),QError
tpcds_kit/all_queries_seperated/query88.sql,88,56.50410223007202,NO
tpcds_kit/all_queries_seperated/query89.sql,89,1.1326720714569092,NO
tpcds_kit/all_queries_seperated/query90.sql,90,0.032122135162353516,NO
tpcds_kit/all_queries_seperated/query91.sql,91,0.413926362991333,NO
tpcds_kit/all_queries_seperated/query92.sql,92,0.015791893005371094,NO
tpcds_kit/all_queries_seperated/query93.sql,93,0.4202399253845215,NO
tpcds_kit/all_queries_seperated/query94.sql,94,1.146313190460205,NO
tpcds_kit/all_queries_seperated/query95.sql,95,10.724210977554321,NO
tpcds_kit/all_queries_seperated/query96.sql,96,6.188478469848633,NO
tpcds_kit/all_queries_seperated/query97.sql,97,35.21281170845032,NO
tpcds_kit/all_queries_seperated/query98.sql,98,2.1845123767852783,NO
tpcds_kit/all_queries_seperated/query99.sql,99,8.042948007583618,NO
